PSTAR: Stopping Powers and Range Tables for Protons

BONE, COMPACT (ICRU)                                                    

Kinetic   Electron. Nuclear   Total     CSDA      Projected 
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Range     Range     
MeV       MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     g/cm2     

2.130E+02 4.021E+00 1.262E-03 4.022E+00 3.108E+01 3.103E+01 
2.160E+02 3.986E+00 1.246E-03 3.987E+00 3.183E+01 3.178E+01 
2.190E+02 3.951E+00 1.229E-03 3.953E+00 3.258E+01 3.253E+01 
2.220E+02 3.918E+00 1.214E-03 3.919E+00 3.335E+01 3.329E+01 
2.250E+02 3.886E+00 1.198E-03 3.887E+00 3.411E+01 3.406E+01 
2.280E+02 3.854E+00 1.183E-03 3.855E+00 3.489E+01 3.484E+01 
2.310E+02 3.823E+00 1.169E-03 3.825E+00 3.567E+01 3.562E+01 
2.340E+02 3.793E+00 1.154E-03 3.795E+00 3.646E+01 3.640E+01 
2.370E+02 3.764E+00 1.141E-03 3.765E+00 3.725E+01 3.719E+01 
2.400E+02 3.736E+00 1.127E-03 3.737E+00 3.805E+01 3.799E+01 
2.430E+02 3.708E+00 1.114E-03 3.709E+00 3.886E+01 3.880E+01 
2.460E+02 3.681E+00 1.101E-03 3.682E+00 3.967E+01 3.961E+01 
2.490E+02 3.654E+00 1.088E-03 3.655E+00 4.049E+01 4.043E+01 
