PSTAR: Stopping Powers and Range Tables for Protons

WATER, LIQUID                                                           

Kinetic   Electron. Nuclear   Total     CSDA      Projected 
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Range     Range     
MeV       MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     g/cm2     

1.860E+02,4.707E+00,1.631E-03,4.709E+00,2.291E+01,2.289E+01,
1.890E+02,4.658E+00,1.606E-03,4.660E+00,2.355E+01,2.353E+01,
1.920E+02,4.611E+00,1.582E-03,4.612E+00,2.420E+01,2.417E+01,
1.950E+02,4.565E+00,1.559E-03,4.566E+00,2.485E+01,2.483E+01,
1.980E+02,4.520E+00,1.537E-03,4.521E+00,2.552E+01,2.548E+01,
2.010E+02,4.476E+00,1.515E-03,4.478E+00,2.618E+01,2.615E+01,
2.040E+02,4.434E+00,1.494E-03,4.435E+00,2.686E+01,2.682E+01,
2.070E+02,4.393E+00,1.473E-03,4.394E+00,2.753E+01,2.750E+01,
2.100E+02,4.353E+00,1.453E-03,4.354E+00,2.822E+01,2.819E+01,
2.130E+02,4.314E+00,1.433E-03,4.315E+00,2.891E+01,2.888E+01,
2.160E+02,4.276E+00,1.414E-03,4.278E+00,2.961E+01,2.958E+01,
2.190E+02,4.239E+00,1.396E-03,4.241E+00,3.032E+01,3.028E+01,
2.220E+02,4.204E+00,1.378E-03,4.205E+00,3.103E+01,3.099E+01,
2.250E+02,4.169E+00,1.361E-03,4.170E+00,3.174E+01,3.171E+01,
2.280E+02,4.135E+00,1.344E-03,4.136E+00,3.246E+01,3.243E+01,
2.310E+02,4.101E+00,1.327E-03,4.103E+00,3.319E+01,3.315E+01,
2.340E+02,4.069E+00,1.311E-03,4.070E+00,3.393E+01,3.389E+01,
2.370E+02,4.038E+00,1.295E-03,4.039E+00,3.467E+01,3.463E+01,
2.400E+02,4.007E+00,1.279E-03,4.008E+00,3.541E+01,3.537E+01,
2.430E+02,3.977E+00,1.264E-03,3.978E+00,3.616E+01,3.612E+01,
2.460E+02,3.948E+00,1.250E-03,3.949E+00,3.692E+01,3.688E+01,
2.490E+02,3.919E+00,1.235E-03,3.920E+00,3.768E+01,3.764E+01,
